"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J2SHNZNY","journalArticle","1994","DeRios, Marlene Dobkin","Drug Tourism in the Amazon","Anthropology of Consciousness","","1053-4202, 1556-3537","10.1525/ac.1994.5.1.16","https://anthrosource.onlinelibrary.wiley.com/doi/10.1525/ac.1994.5.1.16","","1994-03","2025-05-04 22:23:35","2025-05-04 22:23:35","2025-05-04 22:23:35","16-19","","1","5","","Anthropol of Consciousness","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UI869RM2","journalArticle","2023","Brombacher, Daniel; Santos, Hector Fabio","The Amazon in the Crossfire. Review of the Special Chapter of the UN World Drug Report 2023 on the Amazon Basin","Journal of Illicit Economies and Development","","2516-7227","10.31389/jied.218","https://jied.lse.ac.uk/articles/10.31389/jied.218/","","2023-11-07","2025-05-04 22:23:38","2025-05-04 22:23:38","2025-05-04 22:23:38","13-18","","1","5","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/9M9CUPFC/Brombacher and Santos - 2023 - The Amazon in the Crossfire. Review of the Special Chapter of the UN World Drug Report 2023 on the A.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNBLL8ZI","journalArticle","2020","Mendoza, Juan P","Colombia’s transition to peace is enhancing coca-driven deforestation","Environmental Research Letters","","1748-9326","10.1088/1748-9326/abb331","https://iopscience.iop.org/article/10.1088/1748-9326/abb331","Abstract                            Forests cover 70% of the Colombian territory, which includes part of the Amazon. Recent studies have examined how the country’s tree cover dynamics are affected by coca cultivation and its internal armed conflict. In light of Colombia’s recent peace agreement, this study examines whether the impact of coca cultivation on forest loss is conditional on the conflict (               i.e.               whether the impact varies across different levels of conflict intensity). This conditional association is supported by a state-of-the-art spatial panel data analysis, covering the entire territory throughout 2006–2019. As the conflict becomes less intense, each hectare of coca is associated with a larger extension of forest loss.","2020-10-01","2025-05-04 22:23:42","2025-05-04 22:23:42","2025-05-04 22:23:42","104071","","10","15","","Environ. Res. Lett.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7T4DRCU","journalArticle","1966","Posinsky, S. H.","The Economics of Murder: Brazil and Vietnam","Monthly Review","","0027-0520, 0027-0520","10.14452/MR-018-05-1966-09_2","http://archive.monthlyreview.org/index.php/mr/article/view/MR-018-05-1966-09_2","","1966-10-01","2025-05-04 22:23:45","2025-05-04 22:23:45","2025-05-04 22:23:45","9","","5","18","","Mon. Rev.","The Economics of Murder","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42NVQHG7","journalArticle","2024","De Souza-Lima, José Edmilson; Ricci Salomoni, Luciana; Gewehr De Oliveira, Fernanda","INDICATIVOS DA NECROPOLÍTICA SOCIOAMBIENTAL BRASILEIRA","Veredas do Direito – Direito Ambiental e Desenvolvimento Sustentável","","2179-8699","10.18623/rvd.v21.2437","http://revista.domhelder.edu.br/index.php/veredas/article/view/2437","No contexto de crise socioambiental que se evidencia na Amazônia Legal, este artigo tem como objetivo geral identificar vínculos entre as ações do governo brasileiro vigente (2019-2022) e a necropolítica socioambiental. Dentre os objetivos específicos, a investigação proposta visa a demonstrar a participação do governo federal em vigor no aumento dos incêndios, desmatamentos, invasões a territórios indígenas, garimpo ilegal e violência na Amazônia Legal. Com base na obra de Achille Mbembe, este estudo busca delimitar uma crise humanitária originada na necropolítica do governo Bolsonaro. Fazendo uso de uma metodologia quantitativa, esta pesquisa partiu da coleta de dados relacionados à desarticulação de normas ambientais garantidoras de políticas públicas, discursos oficiais de incitação à violação de normas ambientais e inércia no combate a crimes ambientais na Amazônia e contra os povos indígenas no período de janeiro de 2019 a agosto de 2022. Em uma análise qualitativa, tais dados foram inseridos em um quadro analítico derivado da obra de Mbembe sobre a necropolítica. Como resultado, restam reforçadas e justificadas as denúncias de crime contra a humanidade que tramitam contra o Presidente da República perante o Tribunal Penal Internacional (TPI).","2024-02-19","2025-05-04 22:23:45","2025-05-04 22:23:45","2025-05-04 22:23:45","e212437","","","21","","Ver. Dir.","","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/TXS8N55A/De Souza-Lima et al. - 2024 - INDICATIVOS DA NECROPOLÍTICA SOCIOAMBIENTAL BRASILEIRA.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVPUFYCC","journalArticle","2023","Araújo, Telmo Renato Da Silva","Imigração, criminalidade e instituição correcional: o caso de menores portugueses na Amazônia paraense (1880-1925)","Educar em Revista","","1984-0411, 0104-4060","10.1590/1984-0411.87517","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602023000101503&tlng=pt","RESUMO O estudo objetiva analisar o processo imigratório de portugueses para a capital do Pará, tendo em vista os menores portugueses envolvidos com a criminalidade, bem como procura trazer uma reflexão localizada e temporal da realidade microssocial desses menores no que se refere à nacionalidade, à atividade laboral e à tipologia criminal. A metodologia consiste em análise documental a partir do uso de fontes como autos crime, Rol dos Culpados e Livro de Registro dos Menores recolhidos na Colônia Correcional Santo Antônio do Prata, abrangendo o período de 1880 a 1925. O artigo busca não apenas circunscrever a realidade social-criminal desses menores, mas também por em evidência os mecanismos correcionais nos quais foram submetidos ao serem inseridos na Colônia Correcional Santo Antônio do Prata.           ,              ABSTRACT The study aims to analyze the immigration process of Portuguese people to the capital of Pará in view of Portuguese minors involved with criminality. Seeks to bring a localized and temporal reflection of the micro-social reality of these minors regarding nationality, work activity and criminal typology. The methodological path chosen is based on documental analysis using sources such as the crime records, the Guilty Roll and the Minors’ Register Book collected in the Santo Antonio do Prata Correctional Institution, covering the period from 1880-1925. The article seeks not only to circumscribe the social-criminal reality of these minors, but also to put on display the correctional mechanisms in which they were subjected when they were inserted in the Santo Antonio do Prata Correctional Colony.","2023","2025-05-04 22:23:46","2025-05-04 22:23:46","2025-05-04 22:23:46","e87517","","","39","","Educ. rev.","Imigração, criminalidade e instituição correcional","","","","","","","","http://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/LNVP5Y36/Araújo - 2023 - Imigração, criminalidade e instituição correcional o caso de menores portugueses na Amazônia paraen.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z35UQ6EP","journalArticle","2023","De Souza, João Lúcio; Costa, Saulo William Da Silva; Costa, Fernando Augusto Ribeiro; Medeiros, Alana Miranda; DeSouza, Guilherme N.; Seruffo, Marcos César Da Rocha","A classification model for municipalities in the paraense Amazon regarding the risk of violence against women: A multicriteria approach","PLOS ONE","","1932-6203","10.1371/journal.pone.0292323","https://dx.plos.org/10.1371/journal.pone.0292323","Violence against women (VAW) is a serious violation of the rights to life, health, and physical integrity. Recent studies point out that social, economic, and demographic factors directly impact the advance of this type of violence. In view of these facts, the state has its responsibility increased when it cannot provide the public equipment necessary for management strategies that collaborate with the confrontation of violence. This project aims to develop a multicriteria decision analysis model (MCDA) to classify Pará municipalities with regard to the propensity for VAW crime, based on the mapping of assistance and protection equipment, as well as socioeconomic indicators of each municipality. The model developed and the research findings represent an important step in elaboration. In turn, this model demonstrates its ability to be a possible instrument that decision makers and implementers of public policies aimed at protecting and supporting women victims of violence in order to anticipate new occurrences.","2023-10-23","2025-05-04 22:23:48","2025-05-04 22:23:48","2025-05-04 22:23:48","e0292323","","10","18","","PLoS ONE","A classification model for municipalities in the paraense Amazon regarding the risk of violence against women","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/9AZRWASS/De Souza et al. - 2023 - A classification model for municipalities in the paraense Amazon regarding the risk of violence agai.pdf","","","","Walker, Blake Byron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKEGKFL8","journalArticle","2022","Nenevé, Miguel; Costa, Giselle Silva","Miguel Ferrante´s Seringal: human exploitation and violence in Amazonian rubber plantations","International Journal of Advanced Engineering Research and Science","","23496495, 24561908","10.22161/ijaers.98.29","https://ijaers.com/detail/miguel-ferrante-s-seringal-human-exploitation-and-violence-in-amazonian-rubber-plantations/","In this article we explore the issue of violence and oppression suffered by rubber-tappers in the Amazonian rubber plantations, visible in Miguel Ferrante´s novel Seringal. The novel is set in the Santa Rita rubber plantation in the interior of Acre, in the Brazilian Amazon, and reproduces the oppressive life of rubber tappers who work for the owner of the rubber plantation, the “colonel. “Always aiming at “profit and more profit” rubber plantation´s owner exploits and enslaves the “seringueiros”, taking violent actions against the poor workers. The novel also reveals the subhuman condition in which the women in the rubber plantation live, subject to rape and other sort of violence. Women are more deeply colonized and exploited than the rubber men. We argue that violence against women and workers today reflects violence in rubber plantations in the XX century. Scholars such as the thinker Frantz Fanon (1979) who wrote about colonization and Cristina Wolf (2001) who researches violence in the state of Acre, among others, support our argument.","2022","2025-05-04 22:23:50","2025-05-04 22:23:50","2025-05-04 22:23:50","265-270","","8","9","","IJAERS","Miguel Ferrante´s Seringal","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/B9DC5QM7/Nenevé and Costa - 2022 - Miguel Ferrante´s Seringal human exploitation and violence in Amazonian rubber plantations.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LD9TRGFA","journalArticle","2018","Moura, Verena Cibele Soares; Valente, Paula Cristiane Nogueira; Goch, Ynglea Georgina De Freitas; Oliveira Junior, José Max Barbosa","Impactos socioambientais provocados por atividade mineradora no município de Juruti (PA)","Revista Ibero-Americana de Ciências Ambientais","","2179-6858","10.6008/CBPC2179-6858.2018.006.0024","http://www.sustenere.co/index.php/rica/article/view/CBPC2179-6858.2018.006.0024","A implantação de grandes projetos na Amazônia apresenta dinâmicas marcadas por impactos. Este trabalho descreve os impactos socioambientais gerados por um grande empreendimento comandado pela empresa multinacional Aluminum Company of America - ALCOA, no município de Juruti (PA), na visão dos moradores da área urbana. Trata-se de uma pequena cidade no interior do estado do Pará, que se incorpora à economia global devido ao ciclo produtivo do alumínio, através da extração de bauxita. A metodologia aplicada consistiu na utilização de questionários, como instrumento para a coleta de dados em nove bairros, com posterior elaboração de gráficos, tabelas e cujos valores obtidos foram sumarizados pela Análise de Componentes Principais (PCA) para verificar a distinção entre dois grupos de bairros, definidos como antigos e recentes. A pesquisa apontou que, no que concerne à infraestrutura, à saúde, e ao meio ambiente, houve tanto impactos positivos, quanto negativos; já no que diz respeito ao crescimento populacional desordenado e à criminalidade, apenas negativos; enquanto que, no que se relaciona à educação, ao emprego e à economia, somente efeitos positivos. Percebe-se, portanto, que, em Juruti, houve mais impactos positivos do que negativos. O presente estudo contribui para o entendimento de que as transformações ocorridas são desdobramentos das relações existentes entre os circuitos espaciais produtivos e os locais afetados, bem como das interações sociais, econômicas e ambientais estabelecidas no município.","2018-07-03","2025-05-04 22:24:05","2025-05-04 22:24:05","2025-05-04 22:24:05","241-253","","6","9","","RICA","","","","","","","","","http://creativecommons.org/licenses/by-nc-nd/4.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WU5FZRAD","conferencePaper","2022","Tavares, Marcia; Hoffmann, Nora","DETERMINAÇÃO DE CONTAMINAÇÃO POR NECROCHORUME EM MANANCIAL DE ABASTECIMENTO PÚBLICO DE GOIÂNIA","","","","10.55449/congea.13.22.VIII-012","https://www.ibeas.org.br/congresso/Trabalhos2022/VIII-012.pdf","","2022-11-21","2025-05-04 22:24:09","2025-05-04 22:24:09","2025-05-04 22:24:09","","","","","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/M47UZEFV/Tavares and Hoffmann - 2022 - DETERMINAÇÃO DE CONTAMINAÇÃO POR NECROCHORUME EM MANANCIAL DE ABASTECIMENTO PÚBLICO DE GOIÂNIA.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XIII Congresso Brasileiro de Gestão Ambiental","","","","","","","","","","","","","","",""
